document_id,title,publish_date,session,authors,ctr,category,tags,views,depth,full_reads_percent
628fbe689a7947e1b08defc7pvilXnBrSLqfn89Qq7bHzA,"['медвед', 'обвинить', 'зеленский', 'выдвижение', 'невыполнимый', 'ультиматум']",2022-05-26 18:35:02,pvilXnBrSLqfn89Qq7bHzA,['5a9fa2e39a79470cd086f61a'],4.392,5409f11ce063da9c8b588a12,"['543283d8cbb20f35cbd0f765', '5409f15de063daa0f408ada8', '59e769ab9a794784016dbf12', '5409f200e063daa0f408af68', '614cb40f9a79477066594352', '621a3d0c9a794728d449ae5e']",13756,1.06,31.47
61f885619a794736dae68b03gR1LM-aIRNyqXPsZGqI6zw,"['spacex', 'запустить', 'ракета', 'falcon', 'итальянский', 'радиолокационный', 'спутник']",2022-02-01 01:25:04,gR1LM-aIRNyqXPsZGqI6zw,[],0.0,540d5ecacbb20f2524fc050a,"['5409f21ee063daa0f408afc1', '54731372cbb20f270ebe0b6f', '5748bfbc9a79472ddf672c10', '54afcb049a7947629823e6ee']",3411,1.19,26.239
6289b32c9a794758e29541f3TI9y4TQWQHuLVf87SvVmGQ,"['reuters', 'узнать', 'кндр', 'счесть', 'неискренний', 'помощь', 'сша', 'covid']",2022-05-22 04:39:41,TI9y4TQWQHuLVf87SvVmGQ,[],0.0,5409f11ce063da9c8b588a12,"['5428d8aecbb20f531f21a38c', '5409f15ee063daa0f408adb0', '5e8ec7799a7947848604a99e', '5577f72f9a7947f6177effbc', '542498c7cbb20feba0485f3b']",3379,1.069,49.541
61ff25b39a7947fdbc9ff9b5fSwCbTLUREu_L6u462dTwQ,"['известие', 'показать', 'кадр', 'место', 'пропажа', 'эксзамглава', 'минюст', 'ялунина']",2022-02-06 01:47:01,fSwCbTLUREu_L6u462dTwQ,[],0.0,5409f11ce063da9c8b588a12,"['5409f3a9e063daa0f408b36c', '5409f14fe063daa0f408ad68']",27320,1.185,41.706
61fd1bdc9a79476c033454ecG8qFGLiOT8qEB3UHMKcPfg,"['захаров', 'предупредить', 'ответный', 'мера', 'россия', 'британский', 'санкция']",2022-02-04 13:14:01,G8qFGLiOT8qEB3UHMKcPfg,[],0.0,5409f11ce063da9c8b588a12,"['556e926a9a794721a7851f18', '5409f1a3e063daa0f408ae98', '5409f294e063daa0f408b111', '5409f1afe063daa0f408aeb7']",17950,1.159,33.682
627362c19a79475f06b4696cGZPvFDppRx6SRCCaW2uEwQ,"['производитель', 'алкоголь', 'сообщить', 'проблема', 'поставка', 'изза', 'ddosатак']",2022-05-05 06:54:03,GZPvFDppRx6SRCCaW2uEwQ,['5a9fa2e39a79470cd086f61a'],0.0,540d5eafcbb20f2524fc0509,"['5409f293e063daa0f408b104', '544bcba1cbb20fef45039e6e', '54e43fda9a7947beb7a1d5d0']",5399,1.079,28.413
628aa87a9a794790465e924950tIkSGVSf2O8XQgk_uaHQ,"['боррель', 'заявить', 'истощение', 'военный', 'запас', 'ес', 'изза', 'поддержка', 'украина']",2022-05-22 21:23:46,50tIkSGVSf2O8XQgk_uaHQ,[],3.859,5409f11ce063da9c8b588a12,"['6022cc509a794709b1aaa7f1', '5409f168e063daa0f408add3', '542b9627cbb20f572a4d3a9f', '54cf8b859a794771252ddf0b']",7012,1.052,31.204
62723d049a7947fc6f2779c0g8VPM0yiT1qxfIwTKdXtLQ,"['шойг', 'сообщить', 'расширение', 'контроль', 'территория', 'днр', 'лнр']",2022-05-04 09:03:50,g8VPM0yiT1qxfIwTKdXtLQ,['5a9fa2e39a79470cd086f61a'],8.916,5409f11ce063da9c8b588a12,"['5436346acbb20f86b01e0401', '5409f191e063daa0f408ae5c', '5409f1a2e063daa0f408ae94', '5409f15de063daa0f408ada8', '621a3d0c9a794728d449ae5e']",41626,1.075,22.188
6242b9bd9a79474a4ab85170SEWyxNvTSXiNJgfA6zZX5Q,"['эрдоган', 'переговорить', 'абрамович', 'встреча', 'россия', 'украина']",2022-03-29 08:00:39,SEWyxNvTSXiNJgfA6zZX5Q,['619226fb9a7947e681606cc3'],5.382,5409f11ce063da9c8b588a12,"['5447d958cbb20f05db166907', '563388ca9a79475cce38995a', '5426a035cbb20f7903d4f89f', '5409f15de063daa0f408ada8', '5409f309e063daa0f408b1dd', '54ac0da19a7947ea8276b9cf']",111935,1.132,27.736
620accb49a79473629b5a24fXOaBZsa7REWPLgabe-i3EA,"['москва', 'женщина', 'выкинуть', 'младенец', 'четвертый', 'этаж']",2022-02-14 21:47:10,XOaBZsa7REWPLgabe-i3EA,[],0.0,5433e5decbb20f277b20eca9,"['55928e519a794751dc832063', '5409f15be063daa0f408ad93', '5409f33ae063daa0f408b240']",7454,1.209,51.677
61fbe0cf9a794781656186340YrCSHXGT3qhE37LE7pZ0A,"['янгулба', 'счесть', 'незаконный', 'лишение', 'судейский', 'неприкосновенность']",2022-02-03 14:13:42,0YrCSHXGT3qhE37LE7pZ0A,"['5cc18fcd9a79473f104a314a','5878a2ec9a7947e531faf52c']",2.915,5409f11ce063da9c8b588a12,"['61fa82929a7947fca00326d4', '5409f1f9e063daa0f408af59']",32787,1.137,35.657
627cf09c9a79470a617cab29S54kGOf1RF6MthSv7DnJkA,"['россия', 'завести', 'дело', 'против', 'архив', 'интернет']",2022-05-12 12:07:58,S54kGOf1RF6MthSv7DnJkA,['604f2c199a79478ec0029eae'],4.862,5409f11ce063da9c8b588a12,"['542580eacbb20f48618cb28b', '55307d9c9a79475ad63559c5', '5825fa689a7947a4e6a864f7', '5409f3ece063daa0f408b4ab']",8345,1.047,27.513
61fe6b439a7947d1bef8f519o5rO-DSoSXih4FstmLbGEA,"['лечиться', 'covid', 'неделя', 'выписать', 'отрицательный', 'тест']",2022-02-05 12:30:49,o5rO-DSoSXih4FstmLbGEA,['5bfd1d039a794755995093f8'],3.476,5433e5decbb20f277b20eca9,"['5577f72f9a7947f6177effbc', '560624289a794734e21d20a7', '5e8ec7799a7947848604a99e']",102665,1.26,26.787
6272a20a9a79472f9e06a6171eMo7z4rSbyUqJ8CmRn_OQ,"['три', 'страна', 'ес', 'усомниться', 'эффективность', 'запрет', 'транспортировка', 'нефть']",2022-05-04 16:05:04,1eMo7z4rSbyUqJ8CmRn_OQ,[],3.238,5409f11ce063da9c8b588a12,"['5428a3c1cbb20fd19019798f', '5409f270e063daa0f408b0a8', '54353661cbb20fbfe0c535ea', '59e769a89a794784016db926', '5592b4329a7947de211fc771']",12286,1.081,29.945
6242d49c9a794757c6060a2dzErVj-zhRKujsta2EMvduA,"['шойг', 'пообещать', 'призвать', 'россиянин', 'срочный', 'служба', 'весна']",2022-03-29 10:34:30,zErVj-zhRKujsta2EMvduA,['60bf2f0f9a79475cc856c5a1'],1.955,5409f11ce063da9c8b588a12,"['5436346acbb20f86b01e0401', '5409f198e063daa0f408ae6b', '56fd0fda9a7947031dc422c4', '54c649989a79471f18b4190c', '54435596cbb20f7043847585']",22982,1.1,24.611
620ba09e9a79477e6c9759418J3aqa4CTb22Ccsb69BLaA,"['российский', 'истребитель', 'ракета', 'кинжал', 'прибыть', 'сирия', 'учение']",2022-02-15 12:57:14,8J3aqa4CTb22Ccsb69BLaA,[],0.0,5409f11ce063da9c8b588a12,"['5409f196e063daa0f408ae67', '5409f264e063daa0f408b09a', '546b4d52cbb20f84029d5163', '5409f198e063daa0f408ae6b', '5592b2ac9a7947d291915be6', '55af44bd9a7947a1c703cc58']",10070,1.146,45.65
6285f5f59a7947c3b2a8a633mx7ro2gAQs-Tk3O4cA-nEA,"['медвед', 'назвать', 'плюс', 'политический', 'дефолт']",2022-05-19 08:55:29,mx7ro2gAQs-Tk3O4cA-nEA,['5a9fa2e39a79470cd086f61a'],4.771,5409f11ce063da9c8b588a13,"['543283d8cbb20f35cbd0f765', '54601c22cbb20f10b7ca02e7', '5409f294e063daa0f408b111']",20116,1.044,27.222
6291024d9a7947525314e8eclvVdJRH1QHOmGq4O-wfRLg,"['афганский', 'сопротивление', 'сообщить', 'возобновление', 'бой', 'панджшер']",2022-05-27 17:24:18,lvVdJRH1QHOmGq4O-wfRLg,[],0.0,5409f11ce063da9c8b588a12,"['542894c3cbb20f42017deb28', '5430d4f2cbb20f0df1822e48', '612637659a79473bbe7316ca', '612612649a79472ca9cf4018']",2450,1.057,40.898
620373b99a7947d1ef83e0dc0GrX5MFJR3WLzXKvgDNfYQ,"['задача', 'сказать', 'макрон', 'шольц', 'дуда', 'украина', 'россия']",2022-02-09 08:48:44,0GrX5MFJR3WLzXKvgDNfYQ,[],0.0,5409f11ce063da9c8b588a12,"['5409f15de063daa0f408ada8', '5409f140e063daa0f408ad1d', '5409f196e063daa0f408ae65', '5409f200e063daa0f408af68', '5409f15ae063daa0f408ad8a', '54366a01cbb20f810ba70f41']",9950,1.259,62.312
62006d819a79474bf60f7e30l_p8Y0wrQS62brHwBRQSuw,"['депутат', 'предложить', 'разрешить', 'способ', 'самообороны', 'защита', 'дом']",2022-02-07 01:27:36,l_p8Y0wrQS62brHwBRQSuw,['61309cc39a7947257ab1d378'],2.408,5433e5decbb20f277b20eca9,"['5409f30fe063daa0f408b1f1', '5409f145e063daa0f408ad35', '5432632ccbb20f40e33a4802', '592fe98c9a7947777799d96d']",35393,1.137,36.982
6260fd8c9a79476a0ec6429cuoAF6odiR6mOkJHU0Ccu-g,"['мид', 'сообщить', 'ежедневный', 'онлайнпереговор', 'украиная']",2022-04-21 07:45:35,uoAF6odiR6mOkJHU0Ccu-g,[],0.0,5409f11ce063da9c8b588a12,"['5409f309e063daa0f408b1dd', '5409f140e063daa0f408ad1d', '5409f15de063daa0f408ada8']",8086,1.067,33.304
6278383b9a79473e72e74cc2LahMlzNgTX2NIpfbBN5FAg,"['рогозин', 'опубликовать', 'песня', 'удаление', 'youtube', 'видео']",2022-05-08 23:24:07,LahMlzNgTX2NIpfbBN5FAg,['5e1ddee09a7947609de2f69b'],2.963,5409f11ce063da9c8b588a12,"['5451eb6bcbb20f340d3062c4', '5409f3c9e063daa0f408b44a', '5409f41de063daa0f408b58a']",4207,1.044,35.797
6280aff09a79479bd4248a75bTL_EABbTOOFv0cnkvMGYw,"['минобороны', 'сообщить', 'уничтожение', 'пусковой', 'установка', 'сума']",2022-05-15 08:06:28,bTL_EABbTOOFv0cnkvMGYw,['619226fb9a7947e681606cc3'],3.615,5409f11ce063da9c8b588a12,"['5409f198e063daa0f408ae6b', '5409f15de063daa0f408ada8', '547ec5ffcbb20fde0cc4dcac']",10892,1.077,32.694
620293e59a7947947adda5fexMxkWattR_ewhI94MWFjLg,"['металлоинвест', 'заявить', 'шантаж', 'бывший', 'миноритарий', 'лебединский', 'гок']",2022-02-10 07:00:15,xMxkWattR_ewhI94MWFjLg,['5878a7419a7947e8386fc46e'],2.313,540d5eafcbb20f2524fc0509,"['5474704ecbb20fcae178201b', '552d437c9a794749bf322f1b', '5409f145e063daa0f408ad30', '555adf219a79470d28331502']",31294,1.152,25.947
620ed6909a794742ae555982moNQgUFBThGnzHThdjnZ4Q,"['путин', 'присвоить', 'генеральский', 'звание', 'военный', 'правоохранитель']",2022-02-17 23:32:43,moNQgUFBThGnzHThdjnZ4Q,['5e1ddee09a7947609de2f69b'],2.565,5433e5decbb20f277b20eca9,"['58abcf539a7947f18bc079eb', '543c779ccbb20f66d9bcdbcb', '577fbd0c9a79471b890bcbd9', '542ce912cbb20f56834801ce', '5409f3a4e063daa0f408b34f', '54dca6ae9a794714bd831b26', '559548d99a7947339eb6dd08']",22414,1.19,37.017
620662e39a79476def111924AM6L3b67QveW7bf4kmmnDw,"['глава', 'днр', 'заявить', 'желание', 'видеть', 'украина', 'союзный', 'государство']",2022-02-11 14:11:01,AM6L3b67QveW7bf4kmmnDw,['5878a2ec9a7947e531faf52c'],0.0,5409f11ce063da9c8b588a12,"['5497a96d9a7947fae31f89e0', '5409f2c9e063daa0f408b17d', '5409f15de063daa0f408ada8']",7615,1.135,35.233
626296869a7947044b196e4cZ7GzXpi2TV6UZ8v8Pkmvwg,"['макрон', 'предупредить', 'проблема', 'зима', 'отказ', 'ес', 'российский', 'газ']",2022-04-22 12:01:47,Z7GzXpi2TV6UZ8v8Pkmvwg,['5a8d11a39a7947c5e1550980'],1.65,5409f11ce063da9c8b588a12,"['58fda2219a7947718b2933e1', '5409f16ae063daa0f408adda', '5409f15ae063daa0f408ad8a', '5409f15de063daa0f408ada9', '5409f140e063daa0f408ad1d']",6466,1.054,30.142
61ff02d69a7947f5f9b72709cjnL4V-aT26UI7UwXLvprA,"['елизавет', 'ii', 'желать', 'жена', 'чарльза', 'королевойконсорт']",2022-02-05 23:28:37,cjnL4V-aT26UI7UwXLvprA,['5e1ddee09a7947609de2f69b'],5.146,5409f11ce063da9c8b588a12,"['5409f1afe063daa0f408aeb7', '544a4279cbb20fadc4c42182', '551d65cd9a7947f2e6976e2e', '5a3526c89a7947b8636ff026', '61ffa5e19a79471a50ed39fc']",80788,1.143,39.359
62453b479a7947ab176efdbbGuvZJAXKREinJX6EgY4QQg,"['лавр', 'счесть', 'неприемлемый', 'появление', 'инфраструктура', 'нато', 'центральный', 'азия']",2022-03-31 06:36:09,GuvZJAXKREinJX6EgY4QQg,[],0.0,5409f11ce063da9c8b588a12,"['545c81a6cbb20fca592f6ed2', '542894c3cbb20f42017deb28', '556e926a9a794721a7851f18', '5409f309e063daa0f408b1dd']",123572,1.097,30.0
6257ef009a79479f871e14b5rDrQJ01kQVme-mlTXcBi7A,"['минобороны', 'сообщить', 'крейсер', 'москва', 'сохранять', 'плавучесть']",2022-04-14 09:56:04,rDrQJ01kQVme-mlTXcBi7A,['5a8d11a39a7947c5e1550980'],4.529,5409f11ce063da9c8b588a12,"['5409f198e063daa0f408ae6b', '55a75fca9a79476ef75918a9']",82617,1.087,37.539
62011dde9a79470a7b59492dwTE1up1VQpyuiIiGgPpTEg,"['начаться', 'переговоры', 'путина', 'макрон', 'кремло']",2022-02-07 15:34:25,wTE1up1VQpyuiIiGgPpTEg,[],0.0,5409f11ce063da9c8b588a12,"['58abcf539a7947f18bc079eb', '58fda2219a7947718b2933e1', '5409f309e063daa0f408b1dd']",5885,1.211,42.056
61fbf0de9a794702a16d2b4eYhZV7apVTEebb5F6J7g0hQ,"['протасевить', 'обвинить', 'штаб', 'тихановский', 'организация', 'посадка', 'борт', 'ryanair']",2022-02-03 16:02:37,YhZV7apVTEebb5F6J7g0hQ,[],0.0,5409f11ce063da9c8b588a12,"['542d1e28cbb20f862ac2c1f6', '60ace83c9a794771e36a0f25', '5f2e50b69a7947344d41172d', '556411409a7947149e8af05e']",42157,1.131,30.246
626141aa9a79478baac36310axq32Pf4Qei85bGxXF6tIQ,"['теледебат', 'укрепить', 'отрыв', 'макрон', 'ле', 'пена', 'второй', 'тур']",2022-04-21 21:30:08,axq32Pf4Qei85bGxXF6tIQ,['613b3f049a7947536026e824'],2.116,5409f11ce063da9c8b588a12,"['58fda2219a7947718b2933e1', '547b0741cbb20f5b8c5ab185', '5409f15ae063daa0f408ad8a', '54432619cbb20f87865683d0', '55f66e209a7947c385825352', '621a3d0c9a794728d449ae5e']",5756,1.032,30.924
624196f79a7947ec89cfe944YTrr_aOFQwWqUGsFBoPnEA,"['фрг', 'счесть', 'невозможный', 'поддержать', 'запрет', 'российский', 'энергоноситель']",2022-03-28 11:37:48,YTrr_aOFQwWqUGsFBoPnEA,['6206513e9a79476587e1e14e'],0.0,5409f11ce063da9c8b588a12,"['5409f200e063daa0f408af68', '5409f15de063daa0f408ada9', '5409f203e063daa0f408af72', '56a74f9f9a79473c0f4b2f84']",34685,1.088,36.436
61ffbd979a7947211d5e843cQGP4RW9HQySMPQX_c84uAg,"['макрон', 'назвать', 'ключевой', 'тема', 'переговоры', 'путин', 'москва']",2022-02-06 12:55:55,QGP4RW9HQySMPQX_c84uAg,[],0.0,5409f11ce063da9c8b588a12,"['5409f15ae063daa0f408ad8a', '58abcf539a7947f18bc079eb', '58fda2219a7947718b2933e1', '5409f15de063daa0f408ada8']",27886,1.166,32.626
6200aef59a79475cde3d45b1xUA5jM7dRY2btWp8NlJjBQ,"['астраханский', 'область', 'чиновник', 'завести', 'дело', 'нападение', 'собака']",2022-02-07 06:13:48,xUA5jM7dRY2btWp8NlJjBQ,[],0.0,5433e5decbb20f277b20eca9,"['54337346cbb20fbad9bd0401', '5409f146e063daa0f408ad44', '5409f414e063daa0f408b55e', '5530cdba9a79478ce84daef5', '5448618bcbb20f42e1296dab', '5509b4f09a7947682f6fcf6e']",4333,1.17,35.818
626f94179a794760fb21ef48goh2kxxhT7iOdt4dPr7TTQ,"['посол', 'россия', 'вызвать', 'израильский', 'мид', 'заявление', 'лавров', 'гитлер']",2022-05-02 08:36:25,goh2kxxhT7iOdt4dPr7TTQ,['604f2c199a79478ec0029eae'],11.293,5409f11ce063da9c8b588a12,"['545c81a6cbb20fca592f6ed2', '54262362cbb20f6397b0bd18', '553f94da9a7947102ffc53e8', '56546aad9a7947ec515526fb']",43900,1.056,21.626
6241fe869a7947196eebe230I7CQmuMcRNWZWaeEJ-iaQA,"['глава', 'nasa', 'заявить', 'сохранение', 'рабочий', 'отношение', 'мкс']",2022-03-28 19:42:06,I7CQmuMcRNWZWaeEJ-iaQA,[],0.0,540d5ecacbb20f2524fc050a,"['5409f25ae063daa0f408b07c', '560595179a794781daceb2f2', '5444666fcbb20fafce492895', '544c35e6cbb20fda6d160a8f']",23272,1.132,39.49
625bc1879a7947412d129393NeGwJW5eToS8p1o8-K-Z3w,"['сбербанк', 'прогнозировать', 'возврат', 'мошенник', 'вредоносный', 'приложение']",2022-04-17 08:02:55,NeGwJW5eToS8p1o8-K-Z3w,[],0.0,540d5ecacbb20f2524fc050a,"['5409f160e063daa0f408adb8', '54d08ef29a7947c247916dc8', '5409f39ee063daa0f408b337']",1748,1.067,52.174
620638619a79475745883785QX3ri5AGRwSO2QWZRYCWqg,"['регион', 'очередь', 'менять', 'тактика', 'помощь', 'covid']",2022-02-16 06:30:08,QX3ri5AGRwSO2QWZRYCWqg,['587f906a9a7947b089f8dd5a'],0.821,5433e5decbb20f277b20eca9,"['54579d2dcbb20f99bc8c8cc1', '54980b749a794716e15569f5', '55928c529a794751dc82ef0d', '54c5d0019a7947576fc3c408', '5e8ec7799a7947848604a99e', '5577f72f9a7947f6177effbc', '542e4a24cbb20f4eb1d231a9']",18727,1.137,11.369
625eed169a7947458e7ccadeGPFu-iP8S321gFGlbKvF5A,"['минобороны', 'сообщить', 'уничтожение', 'бука', 'харьковский', 'область']",2022-04-19 17:17:40,GPFu-iP8S321gFGlbKvF5A,['542f8085cbb20f3a1e334efb'],3.127,5409f11ce063da9c8b588a12,"['5409f198e063daa0f408ae6b', '5409f37be063daa0f408b2ae']",8732,1.064,35.307
620e17d19a794770b70ca6baaRK06pENQ7yooMS56pK40Q,"['песок', 'заявить', 'риск', 'воспламенение', 'ситуация', 'донбасса', 'момент']",2022-02-17 09:40:39,aRK06pENQ7yooMS56pK40Q,[],3.215,5409f11ce063da9c8b588a12,"['545caa9ecbb20f366651641e', '5409f37be063daa0f408b2ae', '5890d7da9a7947a548624e50']",78586,1.138,26.865
6275d53e9a7947b64e3801950WIzoSRKTI-ucRb74z9o3w,"['трамп', 'обвинить', 'власть', 'сша', 'неумение', 'общаться', 'путин']",2022-05-07 02:24:24,0WIzoSRKTI-ucRb74z9o3w,[],0.0,5409f11ce063da9c8b588a12,"['55805cde9a7947f0c9a6a603', '546e40e7cbb20f1d52dbaa55', '58abcf539a7947f18bc079eb', '5409f15de063daa0f408ada8']",4058,1.043,44.036
62625ad09a7947e79437924dHwq5hSQzQy-2-638VDyLvw,"['производитель', 'пиво', 'клинский', 'hoegaarden', 'решить', 'продать', 'бизнес', 'россия']",2022-04-22 07:36:47,Hwq5hSQzQy-2-638VDyLvw,[],2.436,540d5eafcbb20f2524fc0509,"['55f957709a794713212fcc28', '542a7d3fcbb20f470cdca569', '54bf65259a79475a7cdc8062', '5409f40ce063daa0f408b529']",16554,1.09,40.274
620e76929a794722c54610f42XAS0ioMREyveEsT3UrIUw,"['блинкен', 'предложить', 'лавров', 'встретиться', 'следующий', 'неделя', 'европа']",2022-02-17 16:31:55,2XAS0ioMREyveEsT3UrIUw,[],0.0,5409f11ce063da9c8b588a12,"['545c81a6cbb20fca592f6ed2', '545d4dcdcbb20fbc56178bed', '5409f309e063daa0f408b1dd']",15617,1.171,42.313
629144df9a7947662efa1119b0vVxmKKQ8CdsHUWdWz8oA,"['анонимный', 'донор', 'покрыть', 'расход', 'похороны', 'жертва', 'стрельба', 'техас']",2022-05-27 21:43:49,b0vVxmKKQ8CdsHUWdWz8oA,[],0.0,5433e5decbb20f277b20eca9,"['57b54a479a79472a5eb7a442', '542cb3e6cbb20fdc9b064ee8', '5428324dcbb20f2cd90fafc1', '5409f15ee063daa0f408adb0']",1137,1.063,48.637
6240c7529a7947a50b4beebct2c5U-9STW6C76ZIoRQxhQ,"['глава', 'мид', 'турция', 'россия', 'чавушогла', 'лавр', 'обсудить', 'ситуация', 'украина']",2022-03-27 20:38:25,t2c5U-9STW6C76ZIoRQxhQ,[],0.0,5409f11ce063da9c8b588a12,"['56606a4c9a7947f8f61dfd50', '5426a035cbb20f7903d4f89f', '545c81a6cbb20fca592f6ed2', '54dc84989a79477970b4fbac', '5409f15de063daa0f408ada8']",24502,1.128,44.478
6260acd29a7947502d49b706rbM24mg5SJCTPn5RyaTg0g,"['российский', 'мид', 'сообщить', 'завершиться', 'спецоперация', 'украина']",2022-04-21 01:10:58,rbM24mg5SJCTPn5RyaTg0g,[],0.0,5409f11ce063da9c8b588a12,"['621a3d0c9a794728d449ae5e', '5409f1a3e063daa0f408ae98', '5409f15de063daa0f408ada8', '5409f196e063daa0f408ae65']",11117,1.038,24.917
629260379a79471c5350326dztM7xnnrTfK3DADAm_4Efw,"['шриланка', 'платить', 'миллион', 'тысяча', 'тонна', 'нефть', 'россия']",2022-05-28 18:24:20,ztM7xnnrTfK3DADAm_4Efw,['5a8d11a39a7947c5e1550980'],5.949,5409f11ce063da9c8b588a13,"['58b9a72d9a79474b530f973b', '5409f203e063daa0f408af72', '5409f140e063daa0f408ad1d', '5409f23ee063daa0f408b023']",7491,1.054,31.331
6269f47f9a794740b2dbe06f6py29F8SQeS1EtSRcYQmSw,"['венгрий', 'принять', 'схема', 'оплата', 'российский', 'газ', 'рубль']",2022-04-28 02:00:58,6py29F8SQeS1EtSRcYQmSw,[],1.887,5409f11ce063da9c8b588a12,"['5409f17be063daa0f408ae13', '54dc84999a79477970b4fbb8', '542d2d97cbb20fc67faf1128']",5341,1.035,28.777
620118a09a79470829d83b70GXVZPmpfReeD8eF2qnVTVw,"['макрон', 'прилететь', 'москва', 'переговоры', 'путин']",2022-02-07 14:15:27,GXVZPmpfReeD8eF2qnVTVw,[],0.0,5409f11ce063da9c8b588a12,"['58fda2219a7947718b2933e1', '58abcf539a7947f18bc079eb', '5409f309e063daa0f408b1dd', '5409f15de063daa0f408ada8']",7606,1.197,43.255
620bc3409a7947965dcf1414sBki_0BPT8aG3_GqzSzIqw,"['евросоюз', 'осудить', 'обращение', 'госдума', 'признание', 'днр', 'лнр']",2022-02-15 16:14:06,sBki_0BPT8aG3_GqzSzIqw,[],0.0,5409f11ce063da9c8b588a12,"['6022cc509a794709b1aaa7f1', '5409f168e063daa0f408add3', '5409f145e063daa0f408ad35']",37295,1.198,33.388
